token,label
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
la,I-AUTO
dga',I-AUTO
ba,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
mkhyen,I-AUTO
pa,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
gsung,I-AUTO
ba,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
yongs,I-AUTO
su,I-AUTO
dag,I-AUTO
pa,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
la,I-AUTO
mnga',I-AUTO
brnyes,I-AUTO
pa,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
bskyed,I-AUTO
pa,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
nyid,I-AUTO
las,I-AUTO
skyes,I-AUTO
pa,I-AUTO
yang,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
te/,I-AUTO
tshul,I-AUTO
bcu,I-AUTO
po,I-AUTO
'di,I-AUTO
ni/,I-AUTO
'khor,I-AUTO
ba,I-AUTO
dang,I-AUTO
mya,I-AUTO
ngan,I-AUTO
las,I-AUTO
'das,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
la,I-AUTO
yang,I-AUTO
shes,I-AUTO
par,I-AUTO
bya'o//,I-AUTO
de,I-AUTO
la,I-AUTO
ji,I-AUTO
ltar/,I-AUTO
de,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
rang,I-AUTO
bzhin,I-AUTO
nam,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
yin,I-AUTO
zhe,I-AUTO
na/,I-AUTO
'di,I-AUTO
nyid,I-AUTO
las,I-AUTO
gsungs,I-AUTO
pa/,I-AUTO
dngos,B-ALLO
po,I-ALLO
kun,I-ALLO
gyi,I-ALLO
rang,I-ALLO
bzhin,I-ALLO
mchog//,I-ALLO
dngos,I-ALLO
po,I-ALLO
kun,I-ALLO
gyi,I-ALLO
rang,I-ALLO
bzhin,I-ALLO
'dzin//,I-ALLO
skye,I-ALLO
med,I-ALLO
chos,I-ALLO
te,I-ALLO
sna,I-ALLO
tshogs,I-ALLO
ston//,I-ALLO
chos,I-ALLO
kun,I-ALLO
ngo,I-ALLO
bo,I-ALLO
nyid,I-ALLO
'chang,I-ALLO
ba//,I-ALLO
zhes,B-AUTO
gsungs,I-AUTO
pa,I-AUTO
lta,I-AUTO
bu,I-AUTO
dang,I-AUTO
/,I-AUTO
rnam,B-ALLO
rig,I-ALLO
sna,I-ALLO
tshogs,I-ALLO
gzugs,I-ALLO
don,I-ALLO
can//,I-ALLO
rnam,I-ALLO
shes,I-ALLO
sna,I-ALLO
tshogs,I-ALLO
rgyud,I-ALLO
dang,I-ALLO
ldan//,I-ALLO
zhes,I-ALLO
gsungs,I-ALLO
pa,I-ALLO
dang,I-ALLO
/,I-ALLO
sdug,B-ALLO
bsngal,I-ALLO
gsum,I-ALLO
gyi,I-ALLO
sdug,I-ALLO
bsngal,I-ALLO
zhi////,I-ALLO
zhes,B-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
rnam,B-ALLO
pa,I-ALLO
bcu,I-ALLO
po,I-ALLO
don,I-ALLO
bcu'i,I-ALLO
don//,I-ALLO
zhes,B-AUTO
pa,I-AUTO
dang,I-AUTO
//,I-AUTO
don,B-ALLO
'grub,I-ALLO
bsam,I-ALLO
pa,I-ALLO
grub,I-ALLO
pa,I-ALLO
ste//,I-ALLO
kun,I-ALLO
tu,I-ALLO
rtog,I-ALLO
pa,I-ALLO
thams,I-ALLO
cad,I-ALLO
spangs//,I-ALLO
shes,B-AUTO
bya,I-AUTO
ba,I-AUTO
la,I-AUTO
sos,I-AUTO
pa,I-AUTO
lta,I-AUTO
bu'i,I-AUTO
skabs,I-AUTO
su,I-AUTO
bshad,I-AUTO
pa/,I-AUTO
dngos,I-AUTO
po,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
rang,I-AUTO
bzhin,I-AUTO
dang,I-AUTO
/,I-AUTO
dngos,I-AUTO
po,I-AUTO
med,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
kyi,I-AUTO
rang,I-AUTO
bzhin,I-AUTO
dang,I-AUTO
/,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
ngo,I-AUTO
bo,I-AUTO
nyid,I-AUTO
dang,I-AUTO
ldan,I-AUTO
pa'o//,I-AUTO
zhes,I-AUTO
bshad,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
gzhan,I-AUTO
yang,I-AUTO
/,I-AUTO
rnam,I-AUTO
rig,I-AUTO
sna,I-AUTO
tshogs,I-AUTO
gzugs,I-AUTO
don,I-AUTO
can,I-AUTO
gyi,I-AUTO
skabs,I-AUTO
su,I-AUTO
sems,I-AUTO
dang,I-AUTO
yid,I-AUTO
dang,I-AUTO
rnam,I-AUTO
par,I-AUTO
rig,I-AUTO
pa,I-AUTO
snang,I-AUTO
ba,I-AUTO
dang,I-AUTO
bcas,I-AUTO
pa'i,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
lo,I-AUTO
zhes,I-AUTO
bshad,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
bzhin,I-AUTO
sdug,I-AUTO
bsngal,I-AUTO
gsum,I-AUTO
gyi,I-AUTO
sdug,I-AUTO
bsngal,I-AUTO
zhe'i,I-AUTO
skabs,I-AUTO
su/,I-AUTO
sdug,I-AUTO
bsngal,I-AUTO
gsum,I-AUTO
ni/,I-AUTO
sdug,I-AUTO
bsngal,I-AUTO
nyid,I-AUTO
du,I-AUTO
bshad,I-AUTO
pa,I-AUTO
la,I-AUTO
yang,I-AUTO
sdug,I-AUTO
bsngal,I-AUTO
ni/,I-AUTO
sdug,I-AUTO
bsngal,I-AUTO
sgrub,I-AUTO
par,I-AUTO
byed,I-AUTO
pa'i,I-AUTO
kun,I-AUTO
'byung,I-AUTO
du,I-AUTO
bshad,I-AUTO
la/,I-AUTO
zhi,I-AUTO
ba,I-AUTO
ni,I-AUTO
'gog,I-AUTO
par,I-AUTO
bshad,I-AUTO
de/,I-AUTO
de,I-AUTO
dag,I-AUTO
kyang,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
yin,I-AUTO
par,I-AUTO
bshad,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
rnam,I-AUTO
pa,I-AUTO
bcu,I-AUTO
bo,I-AUTO
don,I-AUTO
bcu'i,I-AUTO
skabs,I-AUTO
su,I-AUTO
bdag,I-AUTO
tu,I-AUTO
lta,I-AUTO
ba,I-AUTO
rnam,I-AUTO
pa,I-AUTO
bcur,I-AUTO
bshad,I-AUTO
la/,I-AUTO
yang,I-AUTO
don,I-AUTO
ni/,I-AUTO
gnyen,I-AUTO
po,I-AUTO
rnam,I-AUTO
pa,I-AUTO
bcur,I-AUTO
bshad,I-AUTO
de/,I-AUTO
de,I-AUTO
ltar,I-AUTO
na,I-AUTO
mi,I-AUTO
mthun,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
gnyen,I-AUTO
po,I-AUTO
de,I-AUTO
dag,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
lo,I-AUTO
zhes,I-AUTO
bshad,I-AUTO
pa,I-AUTO
lta,I-AUTO
bu,I-AUTO
la,I-AUTO
srtsogs,I-AUTO
pa,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
yin,I-AUTO
par,I-AUTO
bshad,I-AUTO
pa'i,I-AUTO
phyir/,I-AUTO
de,I-AUTO
lta,I-AUTO
bu'i,I-AUTO
yon,I-AUTO
tan,I-AUTO
brjod,I-AUTO
pa'i,I-AUTO
ming,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyang,I-AUTO
de'i,I-AUTO
mtshan,I-AUTO
du,I-AUTO
'gyur,I-AUTO
ro//,I-AUTO
de,I-AUTO
la,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
ji,I-AUTO
ltar,I-AUTO
na,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
la,I-AUTO
khyab,I-AUTO
pa,I-AUTO
yin,I-AUTO
zhe,I-AUTO
na/,I-AUTO
'dir,I-AUTO
gsungs,I-AUTO
pa//,I-AUTO
mi,B-ALLO
'gyur,I-ALLO
kun,I-ALLO
'gro,I-ALLO
khyab,I-ALLO
pa,I-ALLO
po//,I-ALLO
zhe,B-AUTO
'am/,I-AUTO
sangs,B-ALLO
rgyas,I-ALLO
kun,I-ALLO
gyi,I-ALLO
thugs,I-ALLO
la,I-ALLO
gnas//,I-ALLO
she,B-AUTO
'am/,I-AUTO
sems,B-ALLO
can,I-ALLO
kun,I-ALLO
gyi,I-ALLO
yid,I-ALLO
la,I-ALLO
gnas//,I-ALLO
zhes,B-AUTO
bya,I-AUTO
ba,I-AUTO
la,I-AUTO
srtsogs,I-AUTO
pa,I-AUTO
lta,I-AUTO
bu,I-AUTO
ste/,I-AUTO
de,I-AUTO
la,I-AUTO
rnam,I-AUTO
pa,I-AUTO
bzhi'i,I-AUTO
tshul,I-AUTO
gyis,I-AUTO
khyab,I-AUTO
pa,I-AUTO
ni,I-AUTO
'di,I-AUTO
lta,I-AUTO
ste/,I-AUTO
chos,I-AUTO
nyid,I-AUTO
dang,I-AUTO
/,I-AUTO
ye,I-AUTO
shes,I-AUTO
dang,I-AUTO
/,I-AUTO
thugs,I-AUTO
rje,I-AUTO
dang,I-AUTO
/,I-AUTO
mdzad,I-AUTO
pa'o//,I-AUTO
de,I-AUTO
la,I-AUTO
chos,I-AUTO
nyid,I-AUTO
kyis,I-AUTO
khyab,I-AUTO
pa,I-AUTO
ni/,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
ni,I-AUTO
rang,I-AUTO
bzhin,I-AUTO
gyis,I-AUTO
stong,I-AUTO
pa,I-AUTO
bdag,I-AUTO
med,I-AUTO
pa,I-AUTO
ste/,I-AUTO
'di,I-AUTO
ltar,I-AUTO
gzhan,I-AUTO
las//,I-AUTO
chos,B-ALLO
kyi,I-ALLO
dbyings,I-ALLO
ni,I-ALLO
ma,I-ALLO
gtogs,I-ALLO
pa//,I-ALLO
chos,I-ALLO
ni,I-ALLO
'ga',I-ALLO
yang,I-ALLO
yod,I-ALLO
ma,I-ALLO
yin//,I-ALLO
zhes,B-AUTO
gsungs,I-AUTO
pa,I-AUTO
lta,I-AUTO
bu'o//,I-AUTO
de,I-AUTO
bas,I-AUTO
na,I-AUTO
chos,I-AUTO
kyi,I-AUTO
dbyings,I-AUTO
ni,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
te/,I-AUTO
de'i,I-AUTO
phyir,I-AUTO
thams,I-AUTO
cad,I-AUTO
la,I-AUTO
khyab,I-AUTO
pa'o//,I-AUTO
ye,I-AUTO
shes,I-AUTO
kyi,I-AUTO
sgo,I-AUTO
nas,I-AUTO
khyab,I-AUTO
ste/,I-AUTO
'di,I-AUTO
ltar,I-AUTO
chos,I-AUTO
kyi,I-AUTO
dbyings,I-AUTO
kyi,I-AUTO
chos,I-AUTO
can,I-AUTO
ni,I-AUTO
rang,I-AUTO
rig,I-AUTO
pa,I-AUTO
tsam,I-AUTO
ste/,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyang,I-AUTO
rang,I-AUTO
rig,I-AUTO
pa,I-AUTO
tsam,I-AUTO
du,I-AUTO
'dus,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
ye,I-AUTO
shes,I-AUTO
kyi,I-AUTO
yul,I-AUTO
du,I-AUTO
ma,I-AUTO
gyur,I-AUTO
ba'i,I-AUTO
chos,I-AUTO
nyid,I-AUTO
kyang,I-AUTO
med,I-AUTO
de/,I-AUTO
de'i,I-AUTO
phyir,I-AUTO
ye,I-AUTO
shes,I-AUTO
kyi,I-AUTO
tshul,I-AUTO
gyis,I-AUTO
kyang,I-AUTO
khyab,I-AUTO
bo//,I-AUTO
thugs,I-AUTO
rjes,I-AUTO
kyang,I-AUTO
khyab,I-AUTO
pa,I-AUTO
ste/,I-AUTO
'di,I-AUTO
ltar,I-AUTO
dbyings,I-AUTO
dang,I-AUTO
ye,I-AUTO
shes,I-AUTO
zung,I-AUTO
du,I-AUTO
'brel,I-AUTO
ba,I-AUTO
ga,I-AUTO
na,I-AUTO
ba,I-AUTO
de,I-AUTO
na/,I-AUTO
thugs,I-AUTO
rje,I-AUTO
chen,I-AUTO
po,I-AUTO
yang,I-AUTO
rgyun,I-AUTO
mi,I-AUTO
'chad,I-AUTO
pa,I-AUTO
yin,I-AUTO
no//,I-AUTO
de,I-AUTO
bzhin,I-AUTO
du,I-AUTO
mdzad,I-AUTO
pas,I-AUTO
kyang,I-AUTO
khyab,I-AUTO
te/,I-AUTO
chos,I-AUTO
de,I-AUTO
gsum,I-AUTO
gang,I-AUTO
du,I-AUTO
tshogs,I-AUTO
pa,I-AUTO
der,I-AUTO
mdzad,I-AUTO
pa,I-AUTO
rgyun,I-AUTO
mi,I-AUTO
'chad,I-AUTO
do//,I-AUTO
de'i,I-AUTO
phyir,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
thugs,I-AUTO
dang,I-AUTO
sems,I-AUTO
can,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
sems,I-AUTO
la,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
gyis,I-AUTO
khyab,I-AUTO
ste/,I-AUTO
chos,I-AUTO
de,I-AUTO
dag,I-AUTO
gang,I-AUTO
nas,I-AUTO
kyang,I-AUTO
ma,I-AUTO
'ongs,I-AUTO
la/,I-AUTO
gang,I-AUTO
du,I-AUTO
yang,I-AUTO
mi,I-AUTO
'gro/,I-AUTO
gar,I-AUTO
yang,I-AUTO
gnas,I-AUTO
par,I-AUTO
'gyur,I-AUTO
ba,I-AUTO
med,I-AUTO
bzhin,I-AUTO
du/,I-AUTO
skal,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
mos,I-AUTO
pa,I-AUTO
ji,I-AUTO
ltar,I-AUTO
ba,I-AUTO
bzhin,I-AUTO
du,I-AUTO
sems,I-AUTO
can,I-AUTO
gyi,I-AUTO
don,I-AUTO
mdzad,I-AUTO
par,I-AUTO
nus,I-AUTO
pa,I-AUTO
yin,I-AUTO
no//,I-AUTO
de,I-AUTO
lta,I-AUTO
bu'i,I-AUTO
yon,I-AUTO
tan,I-AUTO
brjod,I-AUTO
pa'i,I-AUTO
ming,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyang,I-AUTO
de'i,I-AUTO
mtshan,I-AUTO
du,I-AUTO
'gyur,I-AUTO
ro//,I-AUTO
de,I-AUTO
la,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
ji,I-AUTO
ltar,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
du,I-AUTO
sprul,I-AUTO
pa,I-AUTO
yin,I-AUTO
zhe,I-AUTO
na/,I-AUTO
'di,I-AUTO
nyid,I-AUTO
du,I-AUTO
gsungs,I-AUTO
pa/,I-AUTO
gzugs,B-ALLO
rnams,I-ALLO
ma,I-ALLO
lus,I-ALLO
snang,I-ALLO
ba'i,I-ALLO
dpal//,I-ALLO
sna,I-ALLO
tshogs,I-ALLO
gzugs,I-ALLO
can,I-ALLO
yid,I-ALLO
las,I-ALLO
skyes//,I-ALLO
zhes,B-AUTO
bya,I-AUTO
ba,I-AUTO
la,I-AUTO
srtsogs,I-AUTO
pa,I-AUTO
ji,I-AUTO
ltar,I-AUTO
'gro,I-AUTO
ba,I-AUTO
'dul,I-AUTO
ba'i,I-AUTO
dbang,I-AUTO
gis,I-AUTO
snod,I-AUTO
dang,I-AUTO
bcud,I-AUTO
du,I-AUTO
bcas,I-AUTO
pa'i,I-AUTO
gzugs,I-AUTO
sna,I-AUTO
tshogs,I-AUTO
su,I-AUTO
sprul,I-AUTO
pa,I-AUTO
dang,I-AUTO
//,I-AUTO
gtsug,B-ALLO
phud,I-ALLO
phud,I-ALLO
bu,I-ALLO
lcang,I-ALLO
lo,I-ALLO
can//,I-ALLO
ral,I-ALLO
ba,I-ALLO
muny+dza,I-ALLO
cod,I-ALLO
pan,I-ALLO
thogs//,I-ALLO
zhes,B-AUTO
bya,I-AUTO
ba,I-AUTO
la,I-AUTO
sogs,I-AUTO
pa'i,I-AUTO
skabs,I-AUTO
su//,I-AUTO
brtul,I-AUTO
zhugs,I-AUTO
thams,I-AUTO
cad,I-AUTO
'dzin,I-AUTO
par,I-AUTO
sprul,I-AUTO
ba,I-AUTO
dang,I-AUTO
/,I-AUTO
gzugs,I-AUTO
kyi,I-AUTO
mtshan,I-AUTO
nyid,I-AUTO
kyang,I-AUTO
/,I-AUTO
longs,I-AUTO
spyod,I-AUTO
rdzogs,I-AUTO
pa'am/,I-AUTO
sprul,I-AUTO
pa'am/,I-AUTO
byang,I-AUTO
chub,I-AUTO
sems,I-AUTO
dpa',I-AUTO
'am/,I-AUTO
rang,I-AUTO
rgyal,I-AUTO
pa'am/,I-AUTO
nyan,I-AUTO
thos,I-AUTO
sam/,I-AUTO
skye,I-AUTO
dgu'u,I-AUTO
bdag,I-AUTO
po,I-AUTO
la,I-AUTO
sogs,I-AUTO
pa'am/,I-AUTO
gzhan,I-AUTO
yang,I-AUTO
mdzes,I-AUTO
pha'i,I-AUTO
gzugs,I-AUTO
sam/,I-AUTO
mi,I-AUTO
sdug,I-AUTO
pa'i,I-AUTO
gzugs,I-AUTO
sam/,I-AUTO
rgan,I-AUTO
pa'am/,I-AUTO
gzhan,I-AUTO
la,I-AUTO
srtsogs,I-AUTO
pa'i,I-AUTO
gzugs,I-AUTO
sam/,I-AUTO
gzhan,I-AUTO
yang,I-AUTO
nyon,I-AUTO
mongs,I-AUTO
pa,I-AUTO
dang,I-AUTO
bcas,I-AUTO
pa'i,I-AUTO
gzugs,I-AUTO
sam/,I-AUTO
zag,I-AUTO
pa,I-AUTO
zad,I-AUTO
pa,I-AUTO
la,I-AUTO
srtsogs,I-AUTO
pa,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
gzugs,I-AUTO
brnyan,I-AUTO
du,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
mi,I-AUTO
'phrul,I-AUTO
ba,I-AUTO
med,I-AUTO
do//,I-AUTO
de,I-AUTO
bas,I-AUTO
na,I-AUTO
de,I-AUTO
lta,I-AUTO
bu'i,I-AUTO
yon,I-AUTO
tan,I-AUTO
brjod,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
brjod,I-AUTO
pa'i,I-AUTO
ming,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyang,I-AUTO
de'i,I-AUTO
mtshan,I-AUTO
du,I-AUTO
'gyur,I-AUTO
ro//,I-AUTO
de,I-AUTO
la,I-AUTO
ji,I-AUTO
ltar,I-AUTO
na,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
de,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
la,I-AUTO
dga',I-AUTO
ba,I-AUTO
yin,I-AUTO
zhe,I-AUTO
na/,I-AUTO
'di,I-AUTO
nyid,I-AUTO
du,I-AUTO
gsungs,I-AUTO
pa/,I-AUTO
dngos,B-ALLO
don,I-ALLO
ma,I-ALLO
lus,I-ALLO
rnams,I-ALLO
la,I-ALLO
dga'//,I-ALLO
stong,I-ALLO
pa,I-ALLO
nyid,I-ALLO
dga',I-ALLO
'dod,I-ALLO
chags,I-ALLO
blo//,I-ALLO
srid,I-ALLO
gsum,I-ALLO
dga',I-ALLO
ba,I-ALLO
chen,I-ALLO
po,I-ALLO
pa//,I-ALLO
zhes,B-AUTO
bya,I-AUTO
ba,I-AUTO
la,I-AUTO
srtsogs,I-AUTO
pa,I-AUTO
lta,I-AUTO
bu,I-AUTO
ste/,I-AUTO
'gro,I-AUTO
ba,I-AUTO
'dul,I-AUTO
ba'i,I-AUTO
dbang,I-AUTO
gis,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
la,I-AUTO
dga',I-AUTO
bar,I-AUTO
ston,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
snying,I-AUTO
rje'i,I-AUTO
dbang,I-AUTO
gis,I-AUTO
srid,I-AUTO
pa,I-AUTO
la,I-AUTO
chags,I-AUTO
shing,I-AUTO
dga',I-AUTO
ba,I-AUTO
dang,I-AUTO
/,I-AUTO
shes,I-AUTO
rab,I-AUTO
kyi,I-AUTO
dbang,I-AUTO
gis,I-AUTO
stong,I-AUTO
pa,I-AUTO
nyid,I-AUTO
la,I-AUTO
chags,I-AUTO
shing,I-AUTO
dga',I-AUTO
ba,I-AUTO
ste/,I-AUTO
de,I-AUTO
bas,I-AUTO
na,I-AUTO
de,I-AUTO
lta,I-AUTO
bu'i,I-AUTO
yon,I-AUTO
tan,I-AUTO
gyi,I-AUTO
dbang,I-AUTO
du,I-AUTO
gsungs,I-AUTO
pa'i,I-AUTO
ming,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyang,I-AUTO
de'i,I-AUTO
yon,I-AUTO
tan,I-AUTO
gyi,I-AUTO
mtshan,I-AUTO
du,I-AUTO
'gyur,I-AUTO
ro//,I-AUTO
de,I-AUTO
la,I-AUTO
ji,I-AUTO
ltar,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
mkhyen,I-AUTO
pa,I-AUTO
yin,I-AUTO
zhe,I-AUTO
na/,I-AUTO
'di,I-AUTO
nyid,I-AUTO
du,I-AUTO
gsungs,I-AUTO
pa//,I-AUTO
shes,B-ALLO
rab,I-ALLO
chen,I-ALLO
pos,I-ALLO
skad,I-ALLO
cig,I-ALLO
la//,I-ALLO
chos,I-ALLO
kun,I-ALLO
khong,I-ALLO
du,I-ALLO
chud,I-ALLO
pa,I-ALLO
po//,I-ALLO
chos,I-ALLO
kun,I-ALLO
mngon,I-ALLO
par,I-ALLO
rtogs,I-ALLO
pa,I-ALLO
ste//,I-ALLO
zhes,B-AUTO
bya,I-AUTO
ba,I-AUTO
la,I-AUTO
sogs,I-AUTO
pa,I-AUTO
ji,I-AUTO
skad,I-AUTO
du,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
mkhyen,I-AUTO
pa'i,I-AUTO
yon,I-AUTO
tan,I-AUTO
bstan,I-AUTO
pa'i,I-AUTO
dbang,I-AUTO
du,I-AUTO
gsungs,I-AUTO
pa'i,I-AUTO
ming,I-AUTO
thams,I-AUTO
cad,I-AUTO
kayng,I-AUTO
de'i,I-AUTO
mtshan,I-AUTO
du,I-AUTO
'gyur,I-AUTO
ro//,I-AUTO
de,I-AUTO
la,I-AUTO
ji,I-AUTO
ltar,I-AUTO
na,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
gsungs,I-AUTO
pa,I-AUTO
yin,I-AUTO
zhe,I-AUTO
na/,I-AUTO
'di,I-AUTO
nyid,I-AUTO
du,I-AUTO
gsungs,I-AUTO
pa//,I-AUTO
smra,B-ALLO
ba'i,I-ALLO
skyes,I-ALLO
mchog,I-ALLO
smra,I-ALLO
ba'i,I-ALLO
rgyal//,I-ALLO
smra,I-ALLO
ba'i,I-ALLO
dam,I-ALLO
pa,I-ALLO
mchog,I-ALLO
gi,I-ALLO
rgyal//,I-ALLO
smra,I-ALLO
ba'i,I-ALLO
seng+ge,I-ALLO
tshugs,I-ALLO
pa,I-ALLO
med//,I-ALLO
ces,B-AUTO
bya,I-AUTO
ba,I-AUTO
la,I-AUTO
sogs,I-AUTO
te/,I-AUTO
ji,I-AUTO
srid,I-AUTO
du,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
phyin,I-AUTO
ci,I-AUTO
ma,I-AUTO
log,I-AUTO
par,I-AUTO
ston,I-AUTO
pa'i,I-AUTO
mnga',I-AUTO
bdag,I-AUTO
yin,I-AUTO
pas/,I-AUTO
de'i,I-AUTO
dbang,I-AUTO
du,I-AUTO
smos,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
ming,I-AUTO
yang,I-AUTO
de'i,I-AUTO
mtshan,I-AUTO
du,I-AUTO
'gyur,I-AUTO
ro//,I-AUTO
de,I-AUTO
la,I-AUTO
ji,I-AUTO
ltar,I-AUTO
na,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
rnam,I-AUTO
par,I-AUTO
dag,I-AUTO
pa'i,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
yin,I-AUTO
zhe,I-AUTO
na/,I-AUTO
'di,I-AUTO
nyid,I-AUTO
du,I-AUTO
gsungs,I-AUTO
pa'i/,I-AUTO
zag,I-AUTO
pa,I-AUTO
zad,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
sgrib,I-AUTO
pa,I-AUTO
las,I-AUTO
grol,I-AUTO
ba,I-AUTO
dang,I-AUTO
/,I-AUTO
nyon,I-AUTO
mongs,I-AUTO
pa,I-AUTO
zhi,I-AUTO
bar,I-AUTO
byed,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
srid,I-AUTO
pa,I-AUTO
'joms,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
'khor,I-AUTO
ba'i,I-AUTO
pha,I-AUTO
rol,I-AUTO
phyin,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
chu,I-AUTO
bo,I-AUTO
las,I-AUTO
brgal,I-AUTO
ba,I-AUTO
dang,I-AUTO
/,I-AUTO
srid,I-AUTO
rtsa,I-AUTO
bton,I-AUTO
pa,I-AUTO
la,I-AUTO
sogs,I-AUTO
pa,I-AUTO
zag,I-AUTO
pa,I-AUTO
dang,I-AUTO
bcas,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
kyi,I-AUTO
dri,I-AUTO
ma,I-AUTO
dag,I-AUTO
pa'i,I-AUTO
sgo,I-AUTO
nas,I-AUTO
brjod,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
gzhan,I-AUTO
yang,I-AUTO
dag,I-AUTO
pa,I-AUTO
rnam,I-AUTO
pa,I-AUTO
bcu,I-AUTO
gnyis,I-AUTO
'chang,I-AUTO
dang,I-AUTO
/,I-AUTO
rnam,I-AUTO
dag,I-AUTO
phung,I-AUTO
po,I-AUTO
lnga,I-AUTO
'chang,I-AUTO
dang,I-AUTO
/,I-AUTO
pha,I-AUTO
rol,I-AUTO
phyin,I-AUTO
bcu,I-AUTO
dag,I-AUTO
pa,I-AUTO
